syn_flood_consensus,service_sweep_dispersion,low_entropy_repetition,auth_compromise_pattern,y_true,neural_meta,symbolic_raw,clafpp_final
2.0611535e-09,0.7362692,0.00023557316,0.5,1,0.9997046,0.45302117,0.9997046
2.0611535e-09,0.78017163,0.00018961073,0.5,1,0.9996705,0.4723113,0.9996705
2.0611535e-09,0.0006273788,0.6451,0.5,0,0.0008585866,0.2729097,0.0008585866
2.0611535e-09,0.3303359,0.5184383,0.5,1,0.9995613,0.3897111,0.9995613
2.0611535e-09,0.08522892,0.00090804574,0.5,1,0.04778884,0.16696133,0.04778884
2.0611535e-09,0.0006273788,0.10157403,0.5,0,0.00024503248,0.15213713,0.00024503248
2.0611535e-09,0.3303359,2.6641996e-05,0.5,0,0.0024857866,0.27451903,0.0024857866
2.0611535e-09,0.0006273788,0.10157403,1.0,1,0.0035186124,0.2814285,0.0035186124
2.0611535e-09,0.00081895175,0.10157403,0.5,0,0.0002771052,0.15222134,0.0002771052
2.0611535e-09,0.0006273788,0.00031735262,1.0,1,0.0022632258,0.25892904,0.0022632258
2.0611535e-09,0.0006273788,0.0050303107,0.5,1,0.007978699,0.13068491,0.007978699
2.0611535e-09,0.3303359,0.0056955796,0.5,0,0.0009145226,0.27577865,0.0009145226
2.0611535e-09,0.786955,0.00018589152,0.5,1,0.99965227,0.47529256,0.99965227
1.0,0.0006273788,0.010839954,0.5,1,0.9943737,0.56272227,0.9943737
2.0611535e-09,0.0006273788,0.0011240875,0.5,0,0.0012472027,0.12981693,0.0012472027
2.0611535e-09,0.0006273788,0.10157403,0.5,0,0.0002807148,0.15213713,0.0002807148
2.0611535e-09,0.0006273788,0.10157403,0.5,0,0.00032721282,0.15213713,0.00032721282
2.0611535e-09,0.0006273788,0.10157403,0.5,0,0.00030643147,0.15213713,0.00030643147
2.0611535e-09,0.0006273788,0.10250372,0.5,0,0.06558156,0.15234369,0.06558156
2.0611535e-09,0.67845213,0.00027342304,0.5,1,0.9996902,0.42761216,0.9996902
2.0611535e-09,0.48667,0.00030581537,0.5,1,0.99941915,0.34330836,0.99941915
1.0,0.0006273788,0.001876976,0.5,1,0.99945635,0.56073064,0.99945635
2.0611535e-09,0.0006273788,0.10157403,0.5,0,0.00033754832,0.15213713,0.00033754832
2.0611535e-09,0.001305322,0.10157403,0.5,0,0.00029424636,0.15243517,0.00029424636
2.0611535e-09,0.71231765,0.00022448057,0.5,1,0.99943894,0.44248915,0.99943894
2.0611535e-09,0.72044444,0.00025324785,0.5,1,0.99966174,0.44606826,0.99966174
2.0611535e-09,0.001305322,0.10157403,0.5,0,0.0002519332,0.15243517,0.0002519332
2.0611535e-09,0.0006273788,0.10157403,0.5,0,0.00036268638,0.15213713,0.00036268638
2.0611535e-09,0.0006273788,0.53046954,0.5,1,0.999417,0.24743855,0.999417
2.0611535e-09,0.0006273788,0.10387342,0.5,0,0.32389164,0.15264805,0.32389164
2.0611535e-09,0.0006273788,0.98782176,0.5,1,0.7796452,0.34906316,0.7796452
2.0611535e-09,0.3303359,0.0017893892,0.5,0,0.00071709964,0.2749107,0.00071709964
2.0611535e-09,0.0006273788,0.10157403,0.5,0,0.00034214286,0.15213713,0.00034214286
2.0611535e-09,0.98950875,2.0261643e-05,0.5,0,0.9984257,0.56430215,0.9984257
2.0611535e-09,0.99999666,3.050195e-06,0.5,1,0.9997402,0.568909,0.9997402
2.0611535e-09,0.99999976,0.00087580644,0.5,1,0.6535842,0.56910425,0.6535842
2.0611535e-09,0.0006273788,0.10157403,0.5,0,0.0003508611,0.15213713,0.0003508611
2.0611535e-09,0.0006273788,0.00032509814,0.5,1,0.06590135,0.1296394,0.06590135
2.0611535e-09,0.0006273788,0.095529556,0.5,0,0.00054768805,0.15079403,0.00054768805
2.0611535e-09,0.0006273788,0.8029412,0.5,0,0.00090859167,0.3079823,0.00090859167
1.0,0.7040516,0.00022448057,0.5,1,0.9997683,0.86960167,0.9997683
2.0611535e-09,0.0006273788,0.10157403,0.5,0,0.0003086405,0.15213713,0.0003086405
2.0611535e-09,0.0010689604,0.10157403,0.5,0,0.0003691288,0.15233125,0.0003691288
2.0611535e-09,0.00081895175,0.10157403,0.5,0,0.00033468544,0.15222134,0.00033468544
2.0611535e-09,0.7515071,0.00022448057,0.5,1,0.9994667,0.45971757,0.9994667
2.0611535e-09,0.0012212407,0.10157403,0.5,0,0.000313179,0.1523982,0.000313179
