mqtt_anomaly,ddos_flag_storm,http_injection,recon_dns_arp,y_true,neural_meta,symbolic_raw,clafpp_final
2.0611535e-09,0.24508499,0.5,0.5,0,0.00039943223,0.5897363,0.00039943223
2.0611535e-09,0.15878373,0.5,0.5,1,0.99588984,0.54180926,0.99588984
2.0611535e-09,0.34864506,0.5,0.5,1,0.99712974,0.6472479,0.99712974
2.0611535e-09,0.5,0.5,0.5,0,0.00034831467,0.731302,0.00034831467
2.0611535e-09,0.4687906,2.0611535e-09,0.5,1,0.9978461,0.47178277,0.9978461
2.0611535e-09,0.24508499,0.5,0.5,0,0.00040261305,0.5897363,0.00040261305
2.0611535e-09,0.067546695,0.5,0.5,0,0.0003507199,0.4911412,0.0003507199
2.0611535e-09,0.24508499,0.5,0.5,1,0.99901,0.5897363,0.99901
2.0611535e-09,0.24508499,0.5,0.5,0,0.00035258295,0.5897363,0.00035258295
2.0611535e-09,0.4687906,0.5,0.5,0,0.00035256782,0.71397007,0.00035256782
2.0611535e-09,0.4687906,0.99998415,0.5,1,0.9986013,0.95614964,0.9986013
2.0611535e-09,0.29421493,0.5,0.5,0,0.00035505183,0.6170203,0.00035505183
2.0611535e-09,0.4687906,0.5,0.5,0,0.00035099767,0.71397007,0.00035099767
2.0611535e-09,0.067546695,0.5,0.5,0,0.000353319,0.4911412,0.000353319
2.0611535e-09,0.24508499,0.5,0.5,0,0.0003897499,0.5897363,0.0003897499
2.0611535e-09,0.24508499,0.5,0.5,0,0.0003957604,0.5897363,0.0003957604
2.0611535e-09,0.24508499,0.5,0.5,0,0.00041978675,0.5897363,0.00041978675
2.0611535e-09,0.5,0.5,0.5,0,0.00035639742,0.731302,0.00035639742
2.0611535e-09,0.067546695,0.5,0.5,0,0.00035197864,0.4911412,0.00035197864
2.0611535e-09,0.2689414,2.0611535e-09,0.5,1,0.99730533,0.36079746,0.99730533
2.0611535e-09,0.24508499,0.5,0.5,0,0.00039097088,0.5897363,0.00039097088
2.0611535e-09,0.24508499,0.5,0.5,0,0.00037257114,0.5897363,0.00037257114
2.0611535e-09,0.067546695,0.5,0.5,0,0.00035393535,0.4911412,0.00035393535
2.0611535e-09,0.053403314,0.5,0.5,0,0.0004694723,0.48328677,0.0004694723
2.0611535e-09,0.24508499,0.5,0.5,0,0.00042186747,0.5897363,0.00042186747
2.0611535e-09,0.053403314,2.0611535e-09,0.5,1,0.99839693,0.24109942,0.99839693
2.0611535e-09,0.34864506,0.5,0.5,1,0.9967041,0.6472479,0.9967041
2.0611535e-09,0.29421493,0.5,0.5,0,0.00035186394,0.6170203,0.00035186394
0.5,0.4687906,0.5,0.5,0,0.00034815332,0.92525464,0.00034815332
2.0611535e-09,0.2689414,2.0611535e-09,0.5,1,0.99410784,0.36079746,0.99410784
2.0611535e-09,0.067546695,0.5,0.5,0,0.0003533486,0.4911412,0.0003533486
2.0611535e-09,0.57122874,0.5,0.5,1,0.9948343,0.7708586,0.9948343
2.0611535e-09,0.24508499,0.5,0.5,0,0.000423693,0.5897363,0.000423693
2.0611535e-09,0.24508499,0.5,0.5,0,0.0004157972,0.5897363,0.0004157972
2.0611535e-09,0.053403314,0.5,0.5,0,0.00059186993,0.48328677,0.00059186993
2.0611535e-09,0.4687906,0.5,0.5,0,0.00035326835,0.71397007,0.00035326835
2.0611535e-09,0.4687906,0.5,0.5,0,0.00036285195,0.71397007,0.00036285195
2.0611535e-09,0.24508499,0.5,0.5,0,0.00040765508,0.5897363,0.00040765508
2.0611535e-09,0.24508499,0.5,0.5,0,0.00040340025,0.5897363,0.00040340025
2.0611535e-09,0.4687906,1.0,0.5,1,0.99860257,0.9561574,0.99860257
2.0611535e-09,0.067546695,0.5,0.5,0,0.00035348267,0.4911412,0.00035348267
