mqtt_anomaly,ddos_flag_storm,http_injection,recon_dns_arp,y_true,neural_meta,symbolic_raw,clafpp_final
2.0611535e-09,0.24508499,0.5,0.5,0,0.0004666056,0.5897363,0.0004666056
2.0611535e-09,0.15878373,0.5,0.5,1,0.99748546,0.54180926,0.99748546
2.0611535e-09,0.34864506,0.5,0.5,1,0.9969388,0.6472479,0.9969388
2.0611535e-09,0.5,0.5,0.5,0,0.0004318258,0.731302,0.0004318258
2.0611535e-09,0.4687906,2.0611535e-09,0.5,1,0.9977558,0.47178277,0.9977558
2.0611535e-09,0.24508499,0.5,0.5,0,0.00044711272,0.5897363,0.00044711272
2.0611535e-09,0.067546695,0.5,0.5,0,0.00044580878,0.4911412,0.00044580878
2.0611535e-09,0.24508499,0.5,0.5,1,0.99744713,0.5897363,0.99744713
2.0611535e-09,0.24508499,0.5,0.5,0,0.0004433778,0.5897363,0.0004433778
2.0611535e-09,0.4687906,0.5,0.5,0,0.0004458317,0.71397007,0.0004458317
2.0611535e-09,0.4687906,0.99998415,0.5,1,0.9979298,0.95614964,0.9979298
2.0611535e-09,0.29421493,0.5,0.5,0,0.00045018282,0.6170203,0.00045018282
2.0611535e-09,0.4687906,0.5,0.5,0,0.00044894725,0.71397007,0.00044894725
2.0611535e-09,0.067546695,0.5,0.5,0,0.00045086988,0.4911412,0.00045086988
2.0611535e-09,0.24508499,0.5,0.5,0,0.00044739695,0.5897363,0.00044739695
2.0611535e-09,0.24508499,0.5,0.5,0,0.00045331346,0.5897363,0.00045331346
2.0611535e-09,0.24508499,0.5,0.5,0,0.0004439204,0.5897363,0.0004439204
2.0611535e-09,0.5,0.5,0.5,0,0.0004164335,0.731302,0.0004164335
2.0611535e-09,0.067546695,0.5,0.5,0,0.0004477266,0.4911412,0.0004477266
2.0611535e-09,0.2689414,2.0611535e-09,0.5,1,0.99754065,0.36079746,0.99754065
2.0611535e-09,0.24508499,0.5,0.5,0,0.00044904996,0.5897363,0.00044904996
2.0611535e-09,0.24508499,0.5,0.5,0,0.00044701947,0.5897363,0.00044701947
2.0611535e-09,0.067546695,0.5,0.5,0,0.0004501138,0.4911412,0.0004501138
2.0611535e-09,0.053403314,0.5,0.5,0,0.00045662984,0.48328677,0.00045662984
2.0611535e-09,0.24508499,0.5,0.5,0,0.00044998518,0.5897363,0.00044998518
2.0611535e-09,0.053403314,2.0611535e-09,0.5,1,0.9977287,0.24109942,0.9977287
2.0611535e-09,0.34864506,0.5,0.5,1,0.9971111,0.6472479,0.9971111
2.0611535e-09,0.29421493,0.5,0.5,0,0.00043195437,0.6170203,0.00043195437
0.5,0.4687906,0.5,0.5,0,0.00043772685,0.92525464,0.00043772685
2.0611535e-09,0.2689414,2.0611535e-09,0.5,1,0.9949354,0.36079746,0.9949354
2.0611535e-09,0.067546695,0.5,0.5,0,0.0004506046,0.4911412,0.0004506046
2.0611535e-09,0.57122874,0.5,0.5,1,0.9974871,0.7708586,0.9974871
2.0611535e-09,0.24508499,0.5,0.5,0,0.00045304894,0.5897363,0.00045304894
2.0611535e-09,0.24508499,0.5,0.5,0,0.0004669439,0.5897363,0.0004669439
2.0611535e-09,0.053403314,0.5,0.5,0,0.0006191581,0.48328677,0.0006191581
2.0611535e-09,0.4687906,0.5,0.5,0,0.0004489046,0.71397007,0.0004489046
2.0611535e-09,0.4687906,0.5,0.5,0,0.0004491772,0.71397007,0.0004491772
2.0611535e-09,0.24508499,0.5,0.5,0,0.00044756613,0.5897363,0.00044756613
2.0611535e-09,0.24508499,0.5,0.5,0,0.0004451265,0.5897363,0.0004451265
2.0611535e-09,0.4687906,1.0,0.5,1,0.9978986,0.9561574,0.9978986
2.0611535e-09,0.067546695,0.5,0.5,0,0.00045122902,0.4911412,0.00045122902
2.0611535e-09,0.24508499,0.5,0.5,0,0.00045642946,0.5897363,0.00045642946
2.0611535e-09,0.24508499,0.5,0.5,0,0.00045733925,0.5897363,0.00045733925
2.0611535e-09,0.65675604,0.5,0.5,1,0.997407,0.81835574,0.997407
2.0611535e-09,0.067546695,0.5,0.5,0,0.0004510515,0.4911412,0.0004510515
2.0611535e-09,0.34864506,0.5,0.5,1,0.99702936,0.6472479,0.99702936
